code,name,industry,area,pe,totals,outstanding,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket
000622,恒立实业,汽车配件,湖南,0,28297.56,42522.6,38558.8,27394.46,3726.84,18291.42,0.43,-0.038,0.52,18.45,19961107
000733,振华科技,元器件,贵州,85.11,35812,46934.21,517411.56,353264.63,92021.11,227354.02,4.84,0.216,7.05,3.48,19970703
002178,延华智能,建筑施工,上海,133.99,31137.69,37213.42,135811.77,109818.92,12961.46,25107.4,0.67,0.16,2.04,10.24,20071101
300155,安居宝,元器件,广东,95.78,17752.5,36581.96,130183.46,102261.46,21722.32,55819.86,1.53,0.192,3.07,8,20110107
300032,金龙机电,元器件,浙江,479.52,26809.75,33797,153195.86,68144.46,58067.81,47688.53,1.41,0.054,2.98,11.58,20091225
002486,嘉麟杰,服饰,上海,110.05,80050,83200,154081.27,85247.05,44132.1,568.7,0.01,0.041,1.25,4.83,20101015
002533,金杯电工,电气设备,湖南,43.43,48824.39,55351.67,278512.81,201871.36,40825.85,72907.65,1.32,0.159,3.44,2.67,20101231
601111,中国国航,空运,北京,26.08,832927.13,1308475.13,20771470,2121893,13330716,1795774.75,1.37,0.26,4.32,1.94,20060818
002027,七喜控股,电脑设备,广东,2743.81,20348.88,30233.5,59622.45,14028.6,6641.99,6609.21,0.22,0.003,1.62,7.67,20040804
600917,重庆燃气,供气供热,重庆,49.25,15600,155600,721486.94,291380,215438.27,101839.24,0.65,0.171,2.07,5.43,20140930
000812,陕西金叶,广告包装,陕西,72.9,44625.01,44737.57,177669.02,104185.85,48495.3,1530.93,0.03,0.105,1.87,5.46,19980623
600609,金杯汽车,汽车整车,辽宁,0,109266.71,109266.71,806180.06,631796.75,80274.9,112078.32,1.03,-0.008,0.36,13.78,19920724
600395,盘江股份,煤炭开采,贵州,40.73,165505.19,165505.19,1386512.75,446381.06,505501.41,233941.05,1.41,0.225,4.36,2.8,20010531
